"pop","tile_id","year","pixel_id","x","y","Onset_Greenness_Increase","GLSP_QC","PGQ_Onset_Greenness_Increase","clc_code","QC_mandatory_quality","QC_climatology","QC_land_water","clc_name"
"Arija","h17v04",2013,16854,-323623.93247525,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16855,-323160.61975875,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16856,-322697.30704225,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16857,-322233.99432575,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16858,-321770.68160925,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16859,-321307.36889275,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16860,-320844.05617625,4780692.26520525,96,104,14,2,"processed, good quality","climatology fill 6-10%","shallow inland water","Discontinuous urban fabric"
"Arija","h17v04",2013,16861,-320380.74345975,4780692.26520525,134,108,57,41,"processed, good quality","climatology fill 11-15%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16862,-319917.43074325,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16863,-319454.11802675,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,16864,-318990.80531025,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija","h17v04",2013,17102,-323623.93247525,4780228.95248875,73,108,0,21,"processed, good quality","climatology fill 11-15%","shallow inland water","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17103,-323160.61975875,4780228.95248875,102,84,57,21,"processed, good quality","climatology fill 21-30%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17104,-322697.30704225,4780228.95248875,65,81,0,21,"processed, other quality","climatology fill 16-20%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17105,-322233.99432575,4780228.95248875,67,85,0,21,"processed, other quality","climatology fill 21-30%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17106,-321770.68160925,4780228.95248875,NA,67,NA,41,"not processed","climatology fill 0%","ocean/lake coastline","Water bodies"
"Arija","h17v04",2013,17107,-321307.36889275,4780228.95248875,63,89,0,41,"processed, other quality","climatology fill >31%","ocean/lake coastline","Water bodies"
"Arija","h17v04",2013,17108,-320844.05617625,4780228.95248875,78,76,0,27,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Moors and heathland"
"Arija","h17v04",2013,17109,-320380.74345975,4780228.95248875,81,48,0,27,"processed, good quality","climatology fill 16-20%","land","Moors and heathland"
"Arija","h17v04",2013,17110,-319917.43074325,4780228.95248875,122,40,42,27,"processed, good quality","climatology fill 6-10%","land","Moors and heathland"
"Arija","h17v04",2013,17111,-319454.11802675,4780228.95248875,52,57,0,26,"processed, other quality","climatology fill >31%","land","Natural grasslands"
"Arija","h17v04",2013,17112,-318990.80531025,4780228.95248875,99,57,14,26,"processed, other quality","climatology fill >31%","land","Natural grasslands"
"Arija","h17v04",2013,17350,-323623.93247525,4779765.63977225,76,100,0,21,"processed, good quality","climatology fill 1-5%","shallow inland water","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17351,-323160.61975875,4779765.63977225,77,76,0,21,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17352,-322697.30704225,4779765.63977225,79,44,0,21,"processed, good quality","climatology fill 11-15%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17353,-322233.99432575,4779765.63977225,67,68,0,21,"processed, good quality","climatology fill 1-5%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17354,-321770.68160925,4779765.63977225,70,76,0,21,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija","h17v04",2013,17355,-321307.36889275,4779765.63977225,72,80,0,20,"processed, good quality","climatology fill 16-20%","ocean/lake coastline","Complex cultivation patterns"
